Density_min-max,density_o_min-max,Altitude_min-max,Kp_min-max,DSTIndex_min-max,Flag(***)_min-max,apindex_min-max,la_min-max,lo_min-max,local_solar_time_min-max,Unnamed: 0,Density,density_o,Altitude,la,lo,local_solar_time,Magnitude of Average Field Vector,ProtonDensity ,Kp,DSTIndex,Flag(***),apindex
0.263848721,1.37E-46,0.302504642,0.325301205,0.816733068,0,0.067039106,0.976650862,2.03E-31,0.904067192,61,1.64E-13,1.94E-13,447816.3067,87.23719004,22.7166187,21.69755773,6.5,33.7,27,-4,-1,12
0.262235818,1.62E-46,0.300811673,0.397590361,0.816733068,0,0.100558659,0.986452611,1.50E-31,0.822776173,62,1.35E-13,2.19E-13,447737.6213,87.2993091,-29.79037456,19.74660417,2.6,33.9,33,-4,-1,18
0.265572859,1.50E-46,0.301085313,0.397590361,0.848605578,0,0.100558659,0.996075154,1.39E-31,0.854975659,63,1.95E-13,2.07E-13,447750.3395,87.36029243,-41.56639711,20.51937958,4.3,19.6,33,4,-1,18
0.267296997,1.52E-46,0.30169865,0.602409639,0.780876494,0,0.268156425,0.98796404,1.27E-31,0.887496129,64,2.26E-13,2.09E-13,447778.846,87.30888785,-53.22686871,21.29985853,5.3,15.6,50,-13,-1,48
0.26701891,1.68E-46,0.302377284,0.602409639,0.792828685,0,0.268156425,0.976218159,7.44E-32,0.806600257,65,2.21E-13,2.25E-13,447810.3874,87.23444776,-105.5916182,19.35838833,7.2,9.5,50,-10,-1,48
0.265684093,1.87E-46,0.303625815,0.481927711,0.772908367,0,0.150837989,0.994333372,6.24E-32,0.838214811,66,1.97E-13,2.44E-13,447868.4163,87.3492538,-117.5782214,20.11712561,10.4,6.1,40,-15,-1,27
0.264404894,1.86E-46,0.3032476,0.481927711,0.792828685,0,0.150837989,0.994336334,5.09E-32,0.871240142,67,1.74E-13,2.43E-13,447850.8377,87.34927257,-129.0569589,20.90972101,9.7,5.8,40,-10,-1,27
0.26323693,1.69E-46,0.301839517,0.277108434,0.796812749,0,0.05027933,0.976511475,3.89E-32,0.902650223,68,1.53E-13,2.26E-13,447785.3932,87.23630667,-141.1171853,21.66355103,5.5,6,23,-9,-1,9
0.267408231,1.77E-46,0.304574559,0.277108434,0.780876494,0,0.05027933,0.986975463,3.47E-31,0.821605599,69,2.28E-13,2.34E-13,447912.5118,87.3026227,166.4644767,19.71851083,6.3,5,23,-13,-1,9
0.264571746,1.54E-46,0.305203346,0.277108434,0.812749004,0,0.05027933,0.99613184,3.35E-31,0.853843934,70,1.77E-13,2.11E-13,447941.7364,87.36065168,154.7023945,20.49221861,5.5,3.9,23,-5,-1,9
0.265517241,1.61E-46,0.303218267,0.277108434,0.788844622,0,0.05027933,0.987570708,3.23E-31,0.886263141,71,1.94E-13,2.18E-13,447849.4744,87.30639509,143.0054126,21.27026727,3.5,2.5,23,-11,-1,9
0.266462736,1.69E-46,0.301987749,0.204819277,0.800796813,0,0.033519553,0.976643306,2.71E-31,0.805284283,72,2.11E-13,2.26E-13,447792.2827,87.23714215,90.61072308,19.32680545,3.8,2.2,17,-8,-1,6
0.263793103,1.50E-46,0.300832478,0.204819277,0.812749004,0,0.033519553,0.994422829,2.59E-31,0.836849054,73,1.63E-13,2.07E-13,447738.5883,87.34982074,78.60612429,20.08434796,3.9,2.6,17,-5,-1,6
0.264182425,1.51E-46,0.299729295,0.277108434,0.772908367,0,0.05027933,0.99429939,2.47E-31,0.869877829,74,1.70E-13,2.08E-13,447687.3148,87.34903844,67.12854787,20.87702601,1.7,2.8,23,-15,-1,9
0.263848721,1.51E-46,0.299350328,0.277108434,0.772908367,0,0.05027933,0.870891694,2.81E-31,0.963831405,75,1.64E-13,2.08E-13,447669.7013,86.5669362,100.8263378,23.13187615,1.7,2.8,23,-15,-1,9
0.26785317,1.61E-46,0.302408966,0.240963855,0.756972112,0,0.039106145,0.976317454,2.35E-31,0.901397539,76,2.36E-13,2.18E-13,447811.8599,87.23507705,55.10770848,21.63348708,3.1,3.7,20,-19,-1,7
0.266852058,1.51E-46,0.302997643,0.240963855,0.764940239,0,0.039106145,0.987578962,1.83E-31,0.820442359,77,2.18E-13,2.08E-13,447839.2203,87.3064474,2.721505168,19.6905935,3.6,3.3,20,-17,-1,7
